id,us_emotion,emotion_label,predicted_valence,predicted_arousal,predicted_emotion_label,em0prob,em1prob,em2prob,em3prob,em4prob,em5prob,em6prob,em7prob,rating,annotated_valence,annotated_arousal
12,0,0,0.0938720703125,0.041717529296875,0,0.423727422952652,0.17793433368206,0.0209933910518885,0.0451980158686638,0.00227180542424321,0.0104433484375477,0.028208339586854,0.291223287582397,3,0,0
12,1,1,0.7119140625,0.08038330078125,1,0.00107820483390242,0.965042769908905,0.00109304685611278,0.00733588309958577,0.00106148899067193,0.00752820586785674,0.000385197403375059,0.0164752602577209,2,0.795918,0.578231
12,2,1,0.6455078125,0.0294189453125,1,0.00194435508456081,0.803010582923889,0.0010106903500855,0.00145625427830964,0.000110553315607831,0.00367894419468939,0.000279018975561485,0.188509613275528,3,0.77551,0.0918367
12,3,2,-0.71728515625,-0.224853515625,2,0.0335478223860264,0.00044604271533899,0.745857536792755,0.00454908097162843,0.0165063217282295,0.193054407835007,0.00572256604209542,0.000316291756462306,4,-0.741497,0.42517
12,4,2,-0.67822265625,-0.2098388671875,2,0.0734067037701607,0.000619775033555925,0.874414324760437,0.00887919310480356,0.0124606769531965,0.0235138013958931,0.00533316563814878,0.00137234770227224,4,-0.632653,-0.112245
12,5,3,0.1427001953125,0.701171875,3,0.0164528209716082,0.00874229520559311,0.00780599098652601,0.7923544049263,0.168372809886932,0.00162507791537791,0.00310197845101357,0.00154461443889886,3,0,0.717687
12,6,6,-0.409423828125,0.441162109375,6,0.0293862372636795,0.0079868147149682,0.0902566835284233,0.00170381600037217,0.00890993420034647,0.283199429512024,0.511307775974274,0.0672493427991867,4,-0.581633,0.527211
12,7,4,0.058349609375,0.728515625,4,0.000864420842844993,0.000147020982694812,0.00191780179738998,0.212759792804718,0.782816469669342,0.000614164513535798,0.000823226757347584,5.72378812648822e-05,2,0,0.717687
12,8,5,-0.452880859375,0.156982421875,4,0.00402606697753072,0.00327956862747669,0.213886648416519,0.0112254191190004,0.474528312683105,0.28641402721405,0.00604384252801538,0.000596088415477425,2,-0.428571,0.445578
12,9,7,-0.39306640625,0.251220703125,5,0.12405664473772,0.0267913937568665,0.211348921060562,0.00864707585424185,0.0114779127761722,0.318669646978378,0.223447054624557,0.0755614265799522,3,-0.520408,-0.156463
